file,pick,cos1,cos2,cos_margin,noisy_P808,noisy_SIG,noisy_BAK,noisy_OVRL,enh_P808,enh_SIG,enh_BAK,enh_OVRL,dP808,dSIG,dBAK,dOVRL,margin_bin
hdns-ap_mobile-Sennheiser_Momentum_Wireless_BT-pid_900079-mobile-57b1c972-ace2-4d13-8d99-cabf5607ea9e-TwoSpeakersWithBackgroundNoise-mic.wav,1,0.5186034440994263,0.23976027965545654,0.2788431644439697,2.70963191986084,1.350685519283171,1.1259798689250737,1.1244844675043035,3.2374415397644043,3.382528031022518,3.814254303591831,2.9691943105258147,0.5278096199035645,2.031842511739347,2.688274434666757,1.8447098430215112,"(0.2, 0.3]"
hdns-mt_A215YO3EZIYR2C_Clapping_Neighbor_clip_1_subset2.wav,1,0.666356086730957,0.45103955268859863,0.2153165340423584,2.7711332184927806,1.4406001324020632,1.1867954763991901,1.1919115027754414,3.1558608327593123,3.0042759326862085,3.272971421247104,2.4879644285209066,0.3847276142665317,1.5636758002841453,2.0861759448479136,1.2960529257454652,"(0.2, 0.3]"
hdns-mt-win_n0XnbcXymkqg0vSMqg022Q--TwoSpeakers_mic.wav,0,0.2711392343044281,0.4866638481616974,0.2155246138572693,3.1345603125435963,2.2985921408334318,1.7605028921578576,1.699127070705434,3.5050052915300642,3.387801931095899,3.659869269895608,2.906470940892956,0.3704449789864679,1.0892097902624673,1.8993663777377505,1.207343870187522,"(0.2, 0.3]"
spns-lk-RPABS_sameroom_mf_person3_0.5_secon_1m_202212191053090003-in.trim.wav,1,0.6929914355278015,0.3415578007698059,0.3514336347579956,2.917941705145017,1.6960261122409734,1.4348979665662758,1.3671523340884555,3.3295760708625872,3.132542397421814,3.3417839747209914,2.57339157201801,0.4116343657175703,1.4365162851808406,1.9068860081547157,1.2062392379295543,"(0.3, 0.5]"
hdns-ap_mobile-Plantronics_Voyager_8200_BT-pid_900079-mobile-1a40a492-9ff1-4115-a033-73361d3a90bf-TwoSpeakersWithBackgroundNoise-mic.wav,1,0.4012623131275177,0.039699628949165344,0.36156266927719116,2.555429458618164,1.2781651685034898,1.1091411478585205,1.1353913437707075,2.786936044692993,2.97124909284051,3.1354599484817403,2.300539631048972,0.2315065860748291,1.6930839243370204,2.02631880062322,1.1651482872782644,"(0.3, 0.5]"
hdns-mt-win_mGHvUWNIXkWkxZ00I067rA--TwoSpeakersNoise1--TV_mic.wav,0,0.23993974924087524,0.46925678849220276,0.22931703925132751,3.169170754296439,2.114049208905656,1.577160618942738,1.5517868883962112,3.7177891050066267,3.35119981516918,3.195281078762245,2.684689637043448,0.5486183507101878,1.237150606263524,1.6181204598195071,1.1329027486472367,"(0.2, 0.3]"
hdns-mt-win_DZFymZnULUOv6l9uIz6aag--TwoSpeakers_mic.wav,1,0.596584677696228,0.3935684263706207,0.2030162513256073,2.6574371920691595,2.1345803962035754,1.873259894274794,1.6431084119808252,3.122542460759481,3.2097270031392737,3.893090905307585,2.7737981730845123,0.4651052686903214,1.0751466069356983,2.0198310110327906,1.130689761103687,"(0.2, 0.3]"
hdns-ap_mobile-Microsoft_Surface_Earbuds_BT-pid_900023-mobile-3472ccf9-2bfb-4985-84f2-791eb3f4b816-TwoSpeakersWithBackgroundNoise-mic.wav,0,0.18711884319782257,0.3876311182975769,0.20051227509975433,3.348597288131714,2.1897752433183633,1.2802334082745697,1.3727731849494524,3.7047431468963623,3.331388356576442,2.879377380073841,2.452223578284677,0.35614585876464844,1.141613113258079,1.5991439717992715,1.0794503933352246,"(0.2, 0.3]"
hdns-mt-win_M0CtJK7yhEGzp24vzyVBWw--TwoSpeakersNoise1--AC_mic.wav,1,0.5593780875205994,0.1702098697423935,0.3891682028770447,2.85871570450919,1.7473653212275517,1.3653133635033685,1.2418061657113808,3.0352372101375034,3.1191954776007877,2.821102758512162,2.3135539628433226,0.17652150562831315,1.371830156373236,1.4557893950087937,1.0717477971319418,"(0.3, 0.5]"
hdns-mt_A215YO3EZIYR2C_Laughing_Neighbor_clip_3_subset2.wav,0,0.039063531905412674,0.6373427510261536,0.5982792377471924,2.9724968910217284,1.3135028311271966,1.183727682631509,1.1386651938240437,2.900949788093567,2.791028087831955,2.9028218440147873,2.1520279760567087,-0.07154710292816135,1.4775252567047583,1.7190941613832782,1.013362782232665,"(0.5, 1.0]"
hdns-mt-win_DZFymZnULUOv6l9uIz6aag--TwoSpeakersNoise1--AC_mic.wav,1,0.5816922783851624,0.3223772346973419,0.25931504368782043,2.523638997759138,1.5646658658237407,1.3809899249782782,1.2487423357675722,2.853494235447475,2.7839223492813434,3.409261843751863,2.258417682583395,0.3298552376883368,1.2192564834576027,2.0282719187735845,1.0096753468158226,"(0.2, 0.3]"
hdns-mt-win_n0XnbcXymkqg0vSMqg022Q--TwoSpeakersNoise1--TV_mic.wav,0,0.03346828743815422,0.3329780399799347,0.29950976371765137,2.934544622898102,2.175805089282666,1.5093639114500441,1.5098752364402395,3.2793878614902496,3.2683761369062045,2.975300075451629,2.4860836608708685,0.3448432385921478,1.0925710476235384,1.4659361640015847,0.976208424430629,"(0.2, 0.3]"
hdns-ap_mobile-Bose_Headphones_700_NC_BT-pid_900079-mobile-e27bf066-5124-4592-959d-e542558a4c0d-TwoSpeakers-mic.wav,1,0.5815326571464539,0.1397790014743805,0.44175365567207336,3.6265389919281006,2.5274987681667347,1.617914904832764,1.6321749808555153,3.3100855350494385,3.079919665081206,3.327499257418969,2.4583711786496845,-0.3164534568786621,0.5524208969144713,1.709584352586205,0.8261961977941692,"(0.3, 0.5]"
hdns-mt-win_Qk38xi7d0k2OpHGUqeMRAQ--TwoSpeakersNoise1--TV_mic.wav,1,0.5613259673118591,0.2724163234233856,0.2889096438884735,2.7568085534232005,2.0942516654374823,1.3289286264495999,1.3576122337323047,2.9412519931793213,2.7402852852429342,2.889575216386981,2.1091139567445043,0.18444343975612076,0.6460336198054519,1.5606465899373811,0.7515017230121996,"(0.2, 0.3]"
hdns-mt_A1DWSHGZGK8X0K_MouseClick_Neighbor_clip_2_subset5.wav,1,0.6171464920043945,0.3279431462287903,0.28920334577560425,2.667420353208269,1.843400568652813,1.5416972174089218,1.4094276063692512,3.1234872000558034,2.7580353941917006,3.296380852183092,2.128396391135191,0.4560668468475342,0.9146348255388876,1.7546836347741703,0.7189687847659396,"(0.2, 0.3]"
hdns-ap_mobile-Bose_Quiet_Comfort_45_BT-pid_900017-mobile-e6f4db58-8e98-40b5-94bd-d8bc01641cb7-TalkWithBackgroundNoise-mic.wav,1,0.5846211314201355,0.3531084656715393,0.2315126657485962,3.0730955600738525,3.5756810701244603,2.0523419267936824,2.2415043855220325,3.497335195541382,3.511392799170582,3.5204924981667625,2.930088510635869,0.4242396354675293,-0.06428827095387835,1.46815057137308,0.6885841251138367,"(0.2, 0.3]"
hdns-ap_desktop-Microphone_Logi_USB_Headset-pid_900112-0SZNw7p8bESNDlaCFz0aYw--TwoSpeakersNoise1--Airport-mic.wav,1,0.6243385672569275,0.34726789593696594,0.27707067131996155,3.2327282428741455,3.5591923819757594,2.7458850149656366,2.515002454896044,3.7111477851867676,3.5325307615587205,3.867913758727119,3.158755072210053,0.47841954231262207,-0.0266616204170389,1.1220287437614824,0.6437526173140089,"(0.2, 0.3]"
